date,actual,predicted
2025-04-30,5604.14013671875,2837.5547
2025-05-01,5686.669921875,2797.8718
2025-05-02,5650.3798828125,3079.133
2025-05-05,5606.91015625,2856.2087
2025-05-06,5631.27978515625,3104.7283
2025-05-07,5663.93994140625,3012.5767
2025-05-08,5659.91015625,3035.4497
2025-05-09,5844.18994140625,3029.2603
2025-05-12,5886.5498046875,3455.5579
2025-05-13,5892.580078125,3278.1553
2025-05-14,5916.93017578125,3332.2322
2025-05-15,5958.3798828125,3397.8503
2025-05-16,5963.60009765625,3452.9912
2025-05-19,5940.4599609375,3497.587
2025-05-20,5844.60986328125,3188.602
2025-05-21,5842.009765625,3661.4658
2025-05-22,5802.81982421875,3424.2979
2025-05-23,5921.5400390625,3692.5437
2025-05-27,5888.5498046875,3583.6516
2025-05-28,5912.169921875,3398.8281
2025-05-29,5911.68994140625,3407.0588
2025-05-30,5935.93994140625,3450.0972
2025-06-02,5970.3701171875,3426.5864
2025-06-03,5970.81005859375,3464.7048
2025-06-04,5939.2998046875,3407.8945
2025-06-05,6000.35986328125,3516.4297
2025-06-06,6005.8798828125,3433.4404
2025-06-09,6038.81005859375,3423.309
2025-06-10,6022.240234375,2739.4658
2025-06-11,6045.259765625,2772.9092
2025-06-12,5976.97021484375,2765.5947
2025-06-13,6033.10986328125,3006.6187
2025-06-16,5982.72021484375,3000.5952
2025-06-17,5980.8701171875,2930.1353
2025-06-18,5967.83984375,2965.9385
2025-06-20,6025.169921875,2799.71
2025-06-23,6092.18017578125,2753.7183
2025-06-24,6092.16015625,2837.838
2025-06-25,6141.02001953125,3008.6938
2025-06-26,6173.06982421875,3175.2004
2025-06-27,6204.9501953125,3084.6506
2025-06-30,6198.009765625,3158.671
2025-07-01,6227.419921875,3096.848
2025-07-02,6279.35009765625,3064.2607
2025-07-03,6229.97998046875,3202.8784
2025-07-07,6225.52001953125,3118.4768
2025-07-08,6263.259765625,3085.5664
2025-07-09,6280.4599609375,3648.1384
2025-07-10,6259.75,3753.4045
2025-07-11,6268.56005859375,3837.225
2025-07-14,6243.759765625,3812.859
2025-07-15,6263.7001953125,3687.0947
2025-07-16,6297.35986328125,3741.311
2025-07-17,6296.7900390625,3707.462
2025-07-18,6305.60009765625,3655.0046
2025-07-21,6309.6201171875,3735.9153
2025-07-22,6358.91015625,3527.6448
2025-07-23,6363.35009765625,3473.7544
2025-07-24,6388.64013671875,3521.2285
2025-07-25,6389.77001953125,3953.9177
2025-07-28,6370.85986328125,3935.7603
2025-07-29,6362.89990234375,3406.7966
2025-07-30,6339.39013671875,3475.437
2025-07-31,6238.009765625,3540.3325
2025-08-01,6329.93994140625,3535.969
2025-08-04,6299.18994140625,3709.015
2025-08-05,6345.06005859375,3547.9763
2025-08-06,6340.0,3851.065
2025-08-07,6389.4501953125,3877.828
2025-08-08,6373.4501953125,4160.399
2025-08-11,6445.759765625,4250.4224
2025-08-12,6466.580078125,4630.8364
2025-08-13,6468.5400390625,4628.317
2025-08-14,6449.7998046875,4638.5415
2025-08-15,6449.14990234375,4559.922
2025-08-18,6411.3701171875,4350.289
2025-08-19,6395.77978515625,3993.067
2025-08-20,6370.169921875,3915.5322
2025-08-21,6466.91015625,3684.596
2025-08-22,6439.31982421875,4030.7017
2025-08-25,6465.93994140625,3771.064
2025-08-26,6481.39990234375,3940.6023
2025-08-27,6501.85986328125,3951.0522
2025-08-28,6460.259765625,3992.6584
2025-08-29,6415.5400390625,3853.8706
2025-09-02,6448.259765625,3682.085
2025-09-03,6502.080078125,3563.726
2025-09-04,6481.5,4148.548
2025-09-05,6495.14990234375,4150.537
2025-09-08,6512.60986328125,4166.4443
2025-09-09,6532.0400390625,4144.071
2025-09-10,6587.47021484375,4180.309
2025-09-11,6584.2900390625,4323.5312
2025-09-12,6615.27978515625,4222.135
2025-09-15,6606.759765625,4143.708
2025-09-16,6600.35009765625,4112.249
2025-09-17,6631.9599609375,3797.206
2025-09-18,6664.35986328125,3561.545
2025-09-19,6693.75,4164.331
2025-09-22,6656.919921875,3257.2783
2025-09-23,6637.97021484375,4037.9583
2025-09-24,6604.72021484375,3836.4187
2025-09-25,6643.7001953125,3842.8801
2025-09-26,6661.2099609375,3959.901
2025-09-29,6688.4599609375,3643.2986
2025-09-30,6711.2001953125,3638.2498
2025-10-01,6715.35009765625,3558.309
2025-10-02,6715.7900390625,3580.7842
2025-10-03,6740.27978515625,3591.8896
2025-10-06,6714.58984375,3753.6243
2025-10-07,6753.72021484375,3656.6733
2025-10-08,6735.10986328125,3744.1921
2025-10-09,6552.509765625,3593.8728
2025-10-10,6654.72021484375,4580.591
2025-10-13,6644.31005859375,4545.602
2025-10-14,6671.06005859375,4457.2964
2025-10-15,6629.06982421875,4443.5186
2025-10-16,6664.009765625,4513.855
2025-10-17,6735.1298828125,4479.744
2025-10-20,6735.35009765625,4535.249
2025-10-21,6699.39990234375,4402.002
2025-10-22,6738.43994140625,4486.2495
2025-10-23,6791.68994140625,4349.5483
2025-10-24,6875.16015625,4374.71
2025-10-27,6890.89013671875,4642.2134
2025-10-28,6890.58984375,4582.019
2025-10-29,6822.33984375,4396.4985
